dGDP,Ur,em
-0.3,5.4,100.00000000005821
0.1,5.8,100.69955538766226
0.5,6.1,101.39059691657894
0.9,6.4,102.07312458680826
0.5,6.6,102.74713839836477
0.1,6.9,103.41263835123391
0.2,6.7,104.06962444544479
0.3,6.9,104.7180966809683
0.7,7.1,105.358055057819
1.3,7.1,105.98949957596778
0.6,6.9,106.6124302354583
0.6,6.8,107.22684703627601
1.5,6.5,107.83274997840635
0.6,6.1,108.43013906186388
0.8,5.9,109.01901428663405
1.1,5.8,109.59937565274595
0.5,5.6,110.17122316015593
1.1,5.3,110.7345568088931
1.4,5.2,111.28937659895746
0.3,5.1,111.83568253033445
0.5,4.8,112.37347460305318
-0.1,4.8,112.90275281707
-0.7,4.7,113.423517172414
-3.6,4.7,113.93576766908518
0.0,4.9,114.43950430708355
0.4,5.2,114.93472708638001
0.6,5.6,115.4214360070182
-0.2,5.9,115.89963106898358
0.4,6.2,116.3693122722616
0.4,6.1,116.8304796168668
1.1,6.1,117.28313310278463
0.6,5.9,117.72727273002965
-0.1,5.8,118.16289849860186
0.0,5.8,118.59001040847215
-0.6,6.1,119.00860845968418
-0.2,6.5,119.41869265220885
0.1,6.5,119.8202629860607
-0.4,6.7,120.21331946123973
-0.7,6.9,120.59786207771685
0.3,7.2,120.97389083555026
-0.2,7.7,121.34140573468176
0.6,8.2,121.70040677514044
0.6,8.5,122.05089395691175
-0.1,8.5,122.3928672800248
0.6,8.7,122.72632674443594
0.2,8.5,123.05127235018881
0.9,8.1,123.36770409723977
0.6,8.1,123.67562198563246
0.3,8.2,123.97502601533779
0.3,8.0,124.2659161863703
0.0,7.7,124.54829249871545
0.9,7.7,124.82215495240234
0.2,7.4,125.08750354738731
1.1,7.2,125.34433828368492
0.8,6.8,125.59265916132426
0.5,6.5,125.83246618030535
0.9,6.3,126.06375934056996
0.7,6.0,126.28653864216176
0.8,5.8,126.50080408508074
0.4,5.4,126.70655566932692
0.6,5.1,126.90379339488572
0.3,4.9,127.09251726177172
0.5,4.9,127.27272726997035
