"Soort gegevens";"Perioden";"Aanvullende detailgegevens/Bruto investeringen in vaste activa/Bruto investeringen naar bestemming/Totaal (mln euro)"
"Prijsniveau 2015";"2002 4e kwartaal";30720
"Prijsniveau 2015";"2003 1e kwartaal";28905
"Prijsniveau 2015";"2003 2e kwartaal";30919
"Prijsniveau 2015";"2003 3e kwartaal";27427
"Prijsniveau 2015";"2003 4e kwartaal";31754
"Prijsniveau 2015";"2004 1e kwartaal";29515
"Prijsniveau 2015";"2004 2e kwartaal";30958
"Prijsniveau 2015";"2004 3e kwartaal";27282
"Prijsniveau 2015";"2004 4e kwartaal";31479
"Prijsniveau 2015";"2005 1e kwartaal";29438
"Prijsniveau 2015";"2005 2e kwartaal";32212
"Prijsniveau 2015";"2005 3e kwartaal";29290
"Prijsniveau 2015";"2005 4e kwartaal";32207
"Prijsniveau 2015";"2006 1e kwartaal";30671
"Prijsniveau 2015";"2006 2e kwartaal";33836
"Prijsniveau 2015";"2006 3e kwartaal";31283
"Prijsniveau 2015";"2006 4e kwartaal";35969
"Prijsniveau 2015";"2007 1e kwartaal";34368
"Prijsniveau 2015";"2007 2e kwartaal";36056
"Prijsniveau 2015";"2007 3e kwartaal";33389
"Prijsniveau 2015";"2007 4e kwartaal";47492
"Prijsniveau 2015";"2008 1e kwartaal";36273
"Prijsniveau 2015";"2008 2e kwartaal";39171
"Prijsniveau 2015";"2008 3e kwartaal";34862
"Prijsniveau 2015";"2008 4e kwartaal";36429
"Prijsniveau 2015";"2009 1e kwartaal";34750
"Prijsniveau 2015";"2009 2e kwartaal";35818
"Prijsniveau 2015";"2009 3e kwartaal";31265
"Prijsniveau 2015";"2009 4e kwartaal";32307
"Prijsniveau 2015";"2010 1e kwartaal";30866
"Prijsniveau 2015";"2010 2e kwartaal";33802
"Prijsniveau 2015";"2010 3e kwartaal";29265
"Prijsniveau 2015";"2010 4e kwartaal";31138
"Prijsniveau 2015";"2011 1e kwartaal";33504
"Prijsniveau 2015";"2011 2e kwartaal";34583
"Prijsniveau 2015";"2011 3e kwartaal";30323
"Prijsniveau 2015";"2011 4e kwartaal";32777
"Prijsniveau 2015";"2012 1e kwartaal";31257
"Prijsniveau 2015";"2012 2e kwartaal";33038
"Prijsniveau 2015";"2012 3e kwartaal";28355
"Prijsniveau 2015";"2012 4e kwartaal";30270
"Prijsniveau 2015";"2013 1e kwartaal";28107
"Prijsniveau 2015";"2013 2e kwartaal";30781
"Prijsniveau 2015";"2013 3e kwartaal";28287
"Prijsniveau 2015";"2013 4e kwartaal";33820
"Prijsniveau 2015";"2014 1e kwartaal";28930
"Prijsniveau 2015";"2014 2e kwartaal";30406
"Prijsniveau 2015";"2014 3e kwartaal";26999
"Prijsniveau 2015";"2014 4e kwartaal";31723
"Prijsniveau 2015";"2015 1e kwartaal";23396
"Prijsniveau 2015";"2015 2e kwartaal";63448
"Prijsniveau 2015";"2015 3e kwartaal";30129
"Prijsniveau 2015";"2015 4e kwartaal";35560
"Prijsniveau 2015";"2016 1e kwartaal";34569
"Prijsniveau 2015";"2016 2e kwartaal";37303
"Prijsniveau 2015";"2016 3e kwartaal";33181
"Prijsniveau 2015";"2016 4e kwartaal";36369
"Prijsniveau 2015";"2017 1e kwartaal";35905
"Prijsniveau 2015";"2017 2e kwartaal";37926
"Prijsniveau 2015";"2017 3e kwartaal";35247
"Prijsniveau 2015";"2017 4e kwartaal";38291
"Prijsniveau 2015";"2018 1e kwartaal";38279
"Prijsniveau 2015";"2018 2e kwartaal";40290
"Prijsniveau 2015";"2018 3e kwartaal";34719
"Prijsniveau 2015";"2018 4e kwartaal";39361
"Prijsniveau 2015";"2019 1e kwartaal";39927
"Prijsniveau 2015";"2019 2e kwartaal";42444
"Prijsniveau 2015";"2019 3e kwartaal";38448
"Prijsniveau 2015";"2019 4e kwartaal";41252
"Prijsniveau 2015";"2020 1e kwartaal*";41538
"Prijsniveau 2015";"2020 2e kwartaal*";39127
"Prijsniveau 2015";"2020 3e kwartaal*";36621
"Prijsniveau 2015";"2020 4e kwartaal*";40530
"Prijsniveau 2015";"2021 1e kwartaal*";41364
"Prijsniveau 2015";"2021 2e kwartaal*";42786
"Prijsniveau 2015";"2021 3e kwartaal*";37375
"Prijsniveau 2015";"2021 4e kwartaal*";41422
"Prijsniveau 2015";"2022 1e kwartaal*";41353
