Inkomensgroep;Alle huishoudens
tussen -6 en -4 dzd euro;1
tussen -4 en -2 dzd euro;2
tussen -2 en 0 dzd euro;33
tussen 0 en 2 dzd euro;46
tussen 2 en 4 dzd euro;52
tussen 4 en 6 dzd euro;56
tussen 6 en 8 dzd euro;59
tussen 8 en 10 dzd euro;66
tussen 10 en 12 dzd euro;84
tussen 12 en 14 dzd euro;179
tussen 14 en 16 dzd euro;368
tussen 16 en 18 dzd euro;425
tussen 18 en 20 dzd euro;462
tussen 20 en 22 dzd euro;539
tussen 22 en 24 dzd euro;495
tussen 24 en 26 dzd euro;464
tussen 26 en 28 dzd euro;467
tussen 28 en 30 dzd euro;460
tussen 30 en 32 dzd euro;441
tussen 32 en 34 dzd euro;417
tussen 34 en 36 dzd euro;388
tussen 36 en 38 dzd euro;348
tussen 38 en 40 dzd euro;303
tussen 40 en 42 dzd euro;261
tussen 42 en 44 dzd euro;223
tussen 44 en 46 dzd euro;188
tussen 46 en 48 dzd euro;158
tussen 48 en 50 dzd euro;132
tussen 50 en 52 dzd euro;110
tussen 52 en 54 dzd euro;90
tussen 54 en 56 dzd euro;75
tussen 56 en 58 dzd euro;62
tussen 58 en 60 dzd euro;52
tussen 60 en 62 dzd euro;43
tussen 62 en 64 dzd euro;36
tussen 64 en 66 dzd euro;31
tussen 66 en 68 dzd euro;26
tussen 68 en 70 dzd euro;22
tussen 70 en 72 dzd euro;19
tussen 72 en 74 dzd euro;17
tussen 74 en 76 dzd euro;15
tussen 76 en 78 dzd euro;13
tussen 78 en 80 dzd euro;11
tussen 80 en 82 dzd euro;10
tussen 82 en 84 dzd euro;9
tussen 84 en 86 dzd euro;8
tussen 86 en 88 dzd euro;7
tussen 88 en 90 dzd euro;7
tussen 90 en 92 dzd euro;6
tussen 92 en 94 dzd euro;5
tussen 94 en 96 dzd euro;5
tussen 96 en 98 dzd euro;4
tussen 98 en 100 dzd euro;4
tussen 100 en 102 dzd euro;
