taxtype,taxrate,GDP_1st
τᴵ,0.26666666666666666,0.0005541656025906792
τᴵ,0.7111111111111111,0.0003617288327685242
τᴵ,0.5333333333333333,0.0004907001904384638
τᴵ,0.0,0.000587245509559445
τᴵ,0.7111111111111111,0.00038722238445818745
τᴵ,0.26666666666666666,0.0005770979770648935
τᴵ,0.0,0.0007012763819065283
τᴵ,0.5333333333333333,0.0004902517875870185
τᴵ,0.7111111111111111,0.00036713450303093394
τᴵ,0.26666666666666666,0.0006157109296030074
τᴵ,0.5333333333333333,0.0004401901484705487
τᴵ,0.0,0.0006409073358585265
τᴵ,0.7111111111111111,0.0004377095570062923
τᴵ,0.26666666666666666,0.0005922321704126361
τᴵ,0.0,0.0006081509932685864
τᴵ,0.5333333333333333,0.00043909961699849936
τᴵ,0.7111111111111111,0.0003704168300787937
τᴵ,0.26666666666666666,0.0005978252687068305
τᴵ,0.0,0.0007147787921800679
τᴵ,0.5333333333333333,0.00046113392399997665
τᴵ,0.7111111111111111,0.0003474196795081324
τᴵ,0.26666666666666666,0.0005880862414871723
τᴵ,0.0,0.0006482096147581261
τᴵ,0.5333333333333333,0.00048158439227652324
τᴵ,0.7111111111111111,0.00046216244534788613
τᴵ,0.26666666666666666,0.0005456308542746232
τᴵ,0.0,0.0006240763527040415
τᴵ,0.5333333333333333,0.0004795030922129951
τᴵ,0.26666666666666666,0.0006196083026708603
τᴵ,0.7111111111111111,0.00033448471503412004
τᴵ,0.0,0.0006329903786900527
τᴵ,0.5333333333333333,0.00047651865554246937
τᴵ,0.26666666666666666,0.0005624727690070421
τᴵ,0.7111111111111111,0.00043317876261289703
τᴵ,0.0,0.0006826425607475302
τᴵ,0.5333333333333333,0.0004739761775958626
τᴵ,0.26666666666666666,0.0005824135803331802
τᴵ,0.7111111111111111,0.0003511998217328547
τᴵ,0.08888888888888889,0.0006160109609675793
τᴵ,0.6222222222222222,0.00045440929978555735
τᴵ,0.35555555555555557,0.0005684566625558953
τᴵ,0.8,0.00032946090132384814
τᴵ,0.6222222222222222,0.0003846316326254075
τᴵ,0.35555555555555557,0.0005320003406631045
τᴵ,0.8,0.00036882976976003413
τᴵ,0.6222222222222222,0.0004288931300737306
τᴵ,0.35555555555555557,0.0005466924401224313
τᴵ,0.8,0.0003082041858004677
τᴵ,0.35555555555555557,0.0005373564099278687
τᴵ,0.6222222222222222,0.0004126585014455678
τᴵ,0.8,0.0003659048437711038
τᴵ,0.35555555555555557,0.00047584491684865234
τᴵ,0.6222222222222222,0.00043670928690122334
τᴵ,0.8,0.00032305600881295666
τᴵ,0.35555555555555557,0.0005884204480581165
τᴵ,0.6222222222222222,0.000418000331139393
τᴵ,0.8,0.00032379546590001696
τᴵ,0.35555555555555557,0.0005283542919989451
τᴵ,0.6222222222222222,0.0004656196670946619
τᴵ,0.8,0.0003105242526754921
τᴵ,0.35555555555555557,0.0005527907017754539
τᴵ,0.6222222222222222,0.0004366816725023799
τᴵ,0.8,0.00032238698282673257
τᴵ,0.35555555555555557,0.0005499467593113956
τᴵ,0.6222222222222222,0.0004500088186500121
τᴵ,0.8,0.00040079124191446644
τᴵ,0.35555555555555557,0.0005327846085746667
τᴵ,0.6222222222222222,0.0003831095938911544
τᴵ,0.8,0.0003177350871210934
τᴵ,0.4444444444444445,0.0005712093202398991
τᴵ,0.4444444444444445,0.0005145752356092631
τᴵ,0.4444444444444445,0.0005049211978672468
τᴵ,0.4444444444444445,0.00044726486621783797
τᴵ,0.4444444444444445,0.0004617557235575487
τᴵ,0.4444444444444445,0.0005216917905967552
τᴵ,0.4444444444444445,0.0005569742784579918
τᴵ,0.4444444444444445,0.0004986435029231319
τᴵ,0.4444444444444445,0.0004999725883829923
τᴵ,0.4444444444444445,0.0005434597431705769
